Company,Index,Filing,Position Date,Voting Rights,%(voting),Other Instruments,%(other),Total voting rights,Shares with no voting rights,%(of shares),%(ISC),Link
"American Axle & Manufacturing Holdings, Inc.",,Form 8.3,01 September 2025,20391125,17.34,3630238,3.08,24021363,396529,1.94,0.3372,https://www.londonstockexchange.com/news-article/market-news/form-8-3-american-axle-manufacturing-holdings/17212078
Deliveroo plc,,Form 8.3,01 September 2025,59258390,3.95,61877301,4.13,121135691,3119639,5.26,0.2079,https://www.londonstockexchange.com/news-article/market-news/form-8-3-deliveroo-plc/17212080
Spirent Communications plc,,Form 8.3,01 September 2025,34141173,5.87,16115609,2.77,50256782,1803250,5.28,0.31,https://www.londonstockexchange.com/news-article/market-news/form-8-3-spirent-communications-plc/17212087
Aqua Acquisition Sub LLC (an indirect wholly-owned subsidiary of Qualcomm Incorporated),,Form 8.3,01 September 2025,100928272,9.36,189849,0.02,101118121,9924953,9.83,0.9204,https://www.londonstockexchange.com/news-article/market-news/form-8-3-qualcomm-incorporated/17212079
Bakkavor Group plc,,Form 8.3,01 September 2025,7541706,1.3,9500259,1.64,17041965,525554,6.97,0.0906,https://www.londonstockexchange.com/news-article/market-news/form-8-3-bakkavor-group-plc/17212081
Just Group plc,,Form 8.3,01 September 2025,57066820,5.49,30020593,2.89,87087413,2921239,5.12,0.281,https://www.londonstockexchange.com/news-article/market-news/form-8-3-just-group-plc/17212084
Greencore Group plc,,Form 8.3,01 September 2025,39421371,8.92,3317072,0.75,42738443,1340600,3.4,0.3033,https://www.londonstockexchange.com/news-article/market-news/form-8-3-greencore-group-plc/17212082
Spectris plc,,Form 8.3,01 September 2025,6240746,6.28,3303967,3.32,9544713,313589,5.02,0.3156,https://www.londonstockexchange.com/news-article/market-news/form-8-3-spectris-plc/17212086
"Unite Group plc, The",,Form 8.3,01 September 2025,43769921,8.94,0,0,43769921,3413309,7.8,0.6972,https://www.londonstockexchange.com/news-article/market-news/form-8-3-unite-group-plc/17212088
Life Science REIT plc,,Form 8.3,01 September 2025,18876568,5.39,483460,0.14,19360028,852016,4.51,0.2433,https://www.londonstockexchange.com/news-article/market-news/form-8-3-life-science-reit-plc/17212085
JTC plc,,Form 8.3,01 September 2025,8396406,4.88,134557,0.07,8530963,452142,5.38,0.2628,https://www.londonstockexchange.com/news-article/market-news/form-8-3-jtc-plc/17212083
Alpha Group International plc,,Form 8.3,01 September 2025,2963834,7,1200128,2.84,4163962,108822,3.67,0.257,https://www.londonstockexchange.com/news-article/market-news/form-8-3-alpha-group-international-plc/17212077
Empiric Student Property plc,,Form 8.3,02 September 2025,36188144,5.44,4913633,0.74,41101777,2298832,6.35,0.3456,https://www.londonstockexchange.com/news-article/market-news/form-8-3-empiric-student-property-plc/17214244
Deliveroo plc,,Form 8.3,02 September 2025,59297071,3.95,61877301,4.14,121174372,3119639,5.26,0.2078,https://www.londonstockexchange.com/news-article/market-news/form-8-3-deliveroo-plc/17214238
Warehouse REIT plc,,Form 8.3,02 September 2025,15061288,3.54,599240,0.14,15660528,1140949,7.58,0.2682,https://www.londonstockexchange.com/news-article/market-news/form-8-3-warehouse-reit-plc/17214252
"American Axle & Manufacturing Holdings, Inc.",,Form 8.3,02 September 2025,20393726,17.34,3635164,3.09,24028890,396529,1.94,0.3372,https://www.londonstockexchange.com/news-article/market-news/form-8-3-american-axle-manufacturing-holdings/17214233
Alphawave IP Group plc,,Form 8.3,02 September 2025,9058658,1.15,8455197,1.08,17513855,152252,1.68,0.0193,https://www.londonstockexchange.com/news-article/market-news/form-8-3-alphawave-ip-group-plc/17214234
Alpha Group International plc,,Form 8.3,02 September 2025,2955405,6.98,1217862,2.88,4173267,108822,3.68,0.257,https://www.londonstockexchange.com/news-article/market-news/form-8-3-alpha-group-international-plc/17214235
Dundee Precious Metals Inc.,,Form 8.3,02 September 2025,15652715,9.37,0,0,15652715,295862,1.89,0.1771,https://www.londonstockexchange.com/news-article/market-news/form-8-3-dundee-precious-metals-inc/17214240
Aqua Acquisition Sub LLC (an indirect wholly-owned subsidiary of Qualcomm Incorporated),,Form 8.3,02 September 2025,100791252,9.36,161266,0.01,100952518,9668395,9.59,0.8979,https://www.londonstockexchange.com/news-article/market-news/form-8-3-qualcomm-incorporated/17214236
